Name,pmid,shorthand
Paa,16989992,P.
Drosophila,17014740,D.
Sorex,17017071,S.
Myotis,17018432,M.
Drosophila,17028333,D.
Drosophila,17032063,D.
Drosophila,17032727,D.
Cyprinodon,17040380,C.
Tigriopus,17040401,T.
Apis,17068261,A.
Drosophila,17075830,D.
Drosophila,17080365,D.
Drosophila,17124320,D.
Lycaeides,17138866,L.
Culex,17162958,C.
Drosophila,17183474,D.
Mus,17208932,M.
Fundulus,17210008,F.
Chorthippus,17210019,C.
Danio,17211516,D.
Gobiocypris,17211516,G.
Fenneropenaeus,17215142,F.
Pogonomyrmex,17217351,P.
Peromyscus,17242862,P.
Phlebotomus,17249339,P.
Lepus,17257116,L.
Morone,17263302,M.
Xenopus,17268187,X.
Cichla,17275345,C.
Eulemur,17294429,E.
Lemur,17294429,L.
Hyles,17300430,H.
Rana,17305831,R.
Sceloporus,17305859,S.
Alouatta,17310403,A.
Peromyscus,17339267,P.
Tribolium,17348915,T.
Squalius,17351916,S.
Lepus,17362337,L.
Fundulus,17391270,F.
Falco,17391272,F.
Chondrostoma,17406681,C.
Drosophila,17409061,D.
Mytilus,17439610,M.
Chorthippus,17440734,C.
Apidae,17461045,A.
Apis,17461045,A.
Varroa,17461045,V.
Acarapis,17461045,A.
Ficedula,17465896,F.
Tigriopus,17465929,T.
Pseudacris,17562372,P.
Tegenaria,17598745,T.
Triatoma,17612773,T.
Laupala,17614904,L.
Drosophila,17647081,D.
Anopheles,17659361,A.
Camelus,17671843,C.
Lama,17671843,L.
Anas,17683440,A.
Mata,17708680,M.
Xenopus,17712429,X.
Lucania,17714313,L.
Leptynia,17725570,L.
Macoma,17725573,M.
Eurosta,17725623,E.
Magicicada,17849021,M.
Ostrinia,17849861,O.
Carabus,17867845,C.
Fejervarya,17867856,F.
Phoxinus,17892466,P.
Drosophila,17893743,D.
Macoma,17894754,M.
Delena,17908166,D.
Diatraea,17916262,D.
Ostrinia,17916262,O.
Alouatta,17938857,A.
Crotaphytus,17941840,C.
Gambelia,17941840,G.
Mata,17947421,M.
Gyrodactylus,17971088,G.
Poecilia,17980594,P.
Oryzias,17983366,O.
Mus,18005156,M.
Drosophila,18026889,D.
Hakuna,18073782,H.
Caenorhabditis,18073782,C.
Tigriopus,18081717,T.
Mauremys,18179513,M.
Nasonia,18202384,N.
Drosophila,18207084,D.
Pyrrhalta,18232397,P.
Cheng,18232397,C.
Mytilus,18258776,M.
Pocillopora,18302690,P.
Tamias,18302691,T.
Drosophila,18305340,D.
Xenopus,18331635,X.
Nerodia,18346128,N.
Sorex,18355184,S.
Bos,18367505,B.
Xenopus,18367505,X.
Mus,18367505,M.
Rana,18373588,R.
Pogonomyrmex,18373626,P.
Culex,18402135,C.
Culex,18402144,C.
Melanoconion,18402144,M.
Helicoverpa,18405915,H.
Diploptera,18406421,D.
Lasioglossum,18488138,L.
Morone,18500027,M.
Danio,18500027,D.
Lepus,18508749,L.
Daphnia,18508753,D.
Daphnia,18508758,D.
Crustacea,18508758,C.
Cladocera,18508758,C.
Squalius,18522919,S.
Callosobruchus,18563309,C.
Heliconius,18579480,H.
Crocodylus,18626922,C.
Equus,18636282,E.
Crocodylus,18646197,C.
Alouatta,18654738,A.
Anopheles,18666525,A.
Maculatus,18666525,M.
Gryllus,18685571,G.
Anopheles,18685865,A.
Maculatus,18685865,M.
Xiphophorus,18692156,X.
Astropecten,18723640,A.
Aceria,18752612,A.
Drosophila,18755760,D.
Rupicapra,18796461,R.
Crocodylus,18800373,C.
Acanthopagrus,18800995,A.
Nasonia,18811665,N.
Aphis,18826665,A.
Heliconius,18828780,H.
Culex,18836146,C.
Canis,18841199,C.
Alouatta,18855099,A.
Papilio,18949489,P.
Echinocardium,18949506,E.
Strongylocentrotus,18949506,S.
Schistosoma,18992007,S.
Pelophylax,19017263,P.
Rhogeessa,19038350,R.
Anopheles,19058629,A.
Strongylocentrotus,19073555,S.
Mus,19085233,M.
Drosophila,19087181,D.
Heteroptera,19135177,H.
Triatoma,19135177,T.
Triturus,19154385,T.
Cervus,19175500,C.
Anopheles,19181054,A.
Eulemur,19196458,E.
Drosophila,19197064,D.
Strongylocentrotus,19222750,S.
Mus,19243513,M.
Pelophylax,19245393,P.
Ficedula,19245675,F.
Anguilla,19302349,A.
Artemia,19306934,A.
Bradybaena,19341339,B.
Limenitis,19369265,L.
Crex,19370089,C.
Diuraphis,19370091,D.
Androctonus,19388601,A.
Leporinus,19420928,L.
Leporinus,19430915,L.
Macaca,19457196,M.
Myodes,19460158,M.
Bombus,19473395,B.
Paralichthys,19488828,P.
Drosophila,19508411,D.
Pelophylax,19527499,P.
Rana,19549350,R.
Gyrinicola,19549350,G.
Echinostome,19549350,E.
Haplometra,19549350,H.
Bursaphelenchus,19557337,B.
Ambystoma,19564601,A.
Pseudacris,19564601,P.
Taricha,19564601,T.
Ctenotus,19580879,C.
Squamata,19580879,S.
Culex,19584006,C.
Pseudochondrostoma,19585245,P.
Achondrostoma,19585245,A.
Drosophila,19590966,D.
Oreochromis,19602446,O.
Adelges,19610445,A.
Gryllus,19619226,G.
Lutzomyia,19637685,L.
Drosophila,19667135,D.
Drosophila,19686263,D.
Littorina,19690967,L.
Anopheles,19706923,A.
Schistosoma,19730700,S.
Bulinus,19730700,B.
Drosophila,19731208,D.
Drosophila,19744120,D.
Paropsis,19777311,P.
Lamprologus,19780975,L.
Neolamprologus,19780975,N.
Triatoma,19786121,T.
Nothobranchius,19786620,N.
Cynotilapia,19793202,C.
Pseudotropheus,19793202,P.
Salmo,19821045,S.
Gyrodactylus,19821045,G.
Drosophila,19841095,D.
Drosophila,19859525,D.
Bufo,19863582,B.
Drosophila,19891626,D.
Culex,19895687,C.
Poephagus,19917041,P.
Bos,19917041,B.
Drosophila,19917764,D.
Drosophila,19933102,D.
Papilio,19937057,P.
Nilaparvata,19967400,N.
Homoptera,19967400,H.
Camelus,19968638,C.
Anopheles,19996431,A.
Hyrcanus,19996431,H.
Graomys,20047733,G.
Triatoma,20064999,T.
Phyllosoma,20064999,P.
Talpa,20064999,T.
Allende,20064999,A.
Acanthopagrus,20070520,A.
Dactylopius,20074385,D.
Nasonia,20087389,N.
Solenopsis,20093136,S.
Camponotus,20093136,C.
Pseudacris,20100218,P.
Cervus,20102517,C.
Merluccius,20138222,M.
Suncus,20138225,S.
Erinaceus,20143638,E.
Canis,20160760,C.
Geospiza,20194169,G.
Acrocnida,20213533,A.
Alouatta,20217179,A.
Rhinolophus,20298473,R.
Hexagrammos,20345669,H.
Coregonus,20350300,C.
Drosophila,20351771,D.
Pelophylax,20374490,P.
Scania,20374490,S.
Cobitis,20416382,C.
Macrogyrodactylus,20444301,M.
Clarias,20444301,C.
Carassius,20458966,C.
Hyla,20492086,H.
Drosophila,20550800,D.
Drosophila,20551040,D.
Lymantria,20568617,L.
Mytilus,20570850,M.
Henneguya,20575362,H.
Ictalurus,20575362,I.
Macaca,20579289,M.
Pelophylax,20587049,P.
Pterodroma,20618891,P.
Lycaeides,20618903,L.
Lymantria,20628417,L.
Acanthopagrus,20646166,A.
Drosophila,20647504,D.
Holacanthus,20735563,H.
Barbus,20735568,B.
Salvelinus,20735572,S.
Salmo,20735572,S.
Centropyge,20738508,C.
Daphnia,20819161,D.
Plethodon,20819165,P.
